id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Recht,Deutschland
500,Folge 500,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Duntz,,Journalismus,Deutschland
el,Egils Levitz,,Politik,Lettland
501,Folge 501,,,
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk ,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms ,,Militär,Deutschland
502,Folge 502,,,
rh,Robert Habeck,Grüne,Politik,Deutschland 
cm,Claudia Major,,Wissenschaft,Deutschland 
kp,Katja Petrowskaja,,Journalismus,Deutschland 
rk,Roderich,CDU,Politik,Deutschland 
503,Folge 503,,,
CDU,CDU,CDU,,
SPD,SPD,SPD,,
FDP,FPD,FDP,,
Grüne,Grüne,Grüne,,
Linke,Linke,Linke,,
